Cluster,Model,Target,Train_Accuracy,Train_Recall,Train_MSE,Train_R2,Test_Accuracy,Test_Recall,Test_MSE,Test_R2
-1,Lasso,Y5,0.4683724235963042,1.0,0.007283681807628243,0.0,0.43746958637469585,1.0,0.00323146644446492,-0.015705180372796557
-1,RandomForest,Y5,0.7640369580668088,0.8072837632776935,0.0030231025536792758,0.5849485694840262,0.4467153284671533,0.8509454949944383,0.006957275025871773,-1.1867905505131584
-1,AdaBoost,Y5,0.5081734186211798,0.30349013657056145,0.004304330258962815,0.4090447149331997,0.48613138686131385,0.21468298109010012,0.00795063506631362,-1.4990206034602762
-1,AdaBoost2,Y5,0.47547974413646055,0.3535660091047041,0.004377128821318844,0.39904996718354024,0.4579075425790754,0.3125695216907675,0.009289086250325996,-1.9197187058979694
0,Lasso,Y5,0.5363756613756614,1.0,0.004366061957839637,0.0,0.5550931430836306,1.0,0.0019217638270069145,-0.0037027565785330285
0,RandomForest,Y5,0.5811287477954145,0.8997122893547062,0.0030248242711250735,0.30719621014682497,0.5299246928260007,0.7879328811138879,0.0020570990070633384,-0.07438589223534553
0,AdaBoost,Y5,0.4948192239858907,0.2229757501027538,0.0036616226643409015,0.16134431904564572,0.4571938168846611,0.0976436986790432,0.0032450741341052487,-0.6948439802699102
0,AdaBoost2,Y5,0.48897707231040566,0.2591450883682696,0.003556994663769136,0.18530824845894622,0.45679746333729687,0.10424848268475545,0.0029384695532077396,-0.5347099103588691
1,Lasso,Y5,0.5597589653145209,1.0,0.0031146410170653114,0.0,0.551116395825076,1.0,0.0018350715472858175,-0.00014134016174716102
1,RandomForest,Y5,0.5796884185773075,0.9649740061965026,0.0024634811236928854,0.20906418743112953,0.5437706434139252,0.9586709498010261,0.0018587023886856473,-0.013020500879884711
1,AdaBoost,Y5,0.55217519106408,0.9145617812319488,0.003115878145753878,-0.0003971978413526145,0.5313251420266878,0.9039171501174665,0.0022712469536663414,-0.23786343668067178
1,AdaBoost2,Y5,0.5529394473838918,0.9245917134905215,0.003092381567545179,0.007146714307739166,0.5334390276126305,0.9141774943663997,0.0021999642057705386,-0.1990132767965156
2,Lasso,Y5,0.5465085897184663,1.0,0.003138605351281908,0.0,0.5376756066411239,1.0,0.0019462878506869106,-6.72428135697345e-05
2,RandomForest,Y5,0.558331700307009,0.9856272037291579,0.0026113442372981215,0.16799216689299168,0.5365893043261256,0.9825265514511153,0.001959482274301745,-0.0068469752361632885
2,AdaBoost,Y5,0.5204291593180482,0.7307416482400048,0.0034354598317746583,-0.0945816524436578,0.516199116278387,0.7203702186911295,0.002625059734752589,-0.34884274709334906
2,AdaBoost2,Y5,0.5228623685413809,0.7560807984222794,0.003306459078178862,-0.05348035452383226,0.5174615757255472,0.7344035820569526,0.0024728660471268872,-0.2706405831617664
3,Lasso,Y5,0.5472883597883598,1.0,0.0036640482640996025,0.0,0.5145659928656362,1.0,0.002332077950136218,-0.00457852559721017
3,RandomForest,Y5,0.7314814814814815,0.8725075528700906,0.0022237581850394535,0.39308709253972773,0.5023781212841855,0.6626227614095899,0.002580230806612496,-0.11147419375749368
3,AdaBoost,Y5,0.5542328042328042,0.7274924471299093,0.0031458241224924513,0.14143485681799517,0.4934601664684899,0.5049104563835933,0.0031078457478365363,-0.3387524627823115
3,AdaBoost2,Y5,0.5532407407407407,0.733534743202417,0.0031430589493964775,0.1421895338573418,0.49881093935790727,0.5528596187175043,0.003060102360130914,-0.31818626257209637
4,Lasso,Y5,0.5670209736774761,1.0,0.002571993400724352,0.0,0.5427527239856536,1.0,0.001884645355406121,-0.0008671386033645145
4,RandomForest,Y5,0.5774339233644388,0.9859645554171222,0.002183721681375792,0.15096139797217623,0.540679157743312,0.980605185083483,0.0018968756480649271,-0.007362205689905865
4,AdaBoost,Y5,0.5530108887230891,0.8981667471840118,0.0026592684121279006,-0.03393282866859959,0.5286427536959698,0.8954506652976677,0.002131496366717611,-0.13196080280069977
4,AdaBoost2,Y5,0.5649664976229352,0.9766584454219532,0.002561244715888448,0.004179126133401656,0.5393540193165656,0.9823721488308789,0.0019944879256559404,-0.05920056386420636
